Customer_ID,Customer_Name,Segment
CG-12520,Claire Gute,0
DV-13045,Darrin Van Huff,1
SO-20335,Sean O'Donnell,0
BH-11710,Brosina Hoffman,0
AA-10480,Andrew Allen,0
IM-15070,Irene Maddox,0
HP-14815,Harold Pawlan,2
PK-19075,Pete Kriz,0
AG-10270,Alejandro Grove,0
ZD-21925,Zuschuss Donatelli,0
KB-16585,Ken Black,1
SF-20065,Sandra Flanagan,0
EB-13870,Emily Burns,0
EH-13945,Eric Hoffmann,0
TB-21520,Tracy Blumstein,0
MA-17560,Matt Abelman,2
GH-14485,Gene Hale,1
SN-20710,Steve Nguyen,2
LC-16930,Linda Cazamias,1
RA-19885,Ruben Ausman,1
ES-14080,Erin Smith,1
ON-18715,Odella Nelson,1
PO-18865,Patrick O'Donnell,0
LH-16900,Lena Hernandez,0
DP-13000,Darren Powers,0
JM-15265,Janet Molinari,1
TB-21055,Ted Butterfield,0
KM-16720,Kunst Miller,0
PS-18970,Paul Stevenson,2
BS-11590,Brendan Sweed,1
KD-16270,Karen Daniels,0
HM-14980,Henry MacAllister,0
JE-15745,Joel Eaton,0
KB-16600,Ken Brennan,1
SC-20770,Stewart Carmichael,1
DN-13690,Duane Noonan,0
JC-16105,Julie Creighton,1
CS-12400,Christopher Schild,2
PG-18895,Paul Gonzalez,0
GM-14455,Gary Mitchum,2
JS-15685,Jim Sink,1
KB-16315,Karl Braun,0
RB-19705,Roger Barcio,2
PN-18775,Parhena Norris,2
KD-16345,Katherine Ducich,0
ER-13855,Elpida Rittenbach,1
RB-19465,Rick Bensley,2
GZ-14470,Gary Zandusky,0
LC-16870,Lena Cacioppo,0
JM-15250,Janet Martin,0
PA-19060,Pete Armstrong,2
CV-12805,Cynthia Voltz,1
CL-12565,Clay Ludtke,0
RC-19960,Ryan Crowe,0
DK-13090,Dave Kipp,0
GG-14650,Greg Guthrie,1
SC-20725,Steven Cartwright,0
AD-10180,Alan Dominguez,2
PF-19165,Philip Fox,0
TS-21610,Troy Staebel,0
LS-16975,Lindsay Shagiari,2
DW-13585,Dorothy Wardle,1
LC-16885,Lena Creighton,0
JD-15895,Jonathan Doherty,1
SH-19975,Sally Hughsby,1
SG-20080,Sandra Glassco,0
HA-14920,Helen Andreada,0
MG-17680,Maureen Gastineau,2
JE-16165,Justin Ellison,1
TW-21025,Tamara Willingham,2
SP-20650,Stephanie Phelps,1
NK-18490,Neil Knudson,2
DB-13060,Dave Brooks,0
NP-18670,Nora Paige,0
TT-21070,Ted Trevino,0
EM-13960,Eric Murdock,0
RD-19900,Ruben Dartt,0
MJ-17740,Max Jones,0
BM-11140,Becky Martin,0
CS-12130,Chad Sievert,0
JB-15400,Jennifer Braxton,1
SJ-20500,Shirley Jackson,0
JK-15640,Jim Kriz,2
DK-13150,David Kendrick,1
RM-19675,Robert Marley,2
SK-19990,Sally Knutson,0
FM-14290,Frank Merwin,2
AM-10360,Alice McCarthy,1
MP-17470,Mark Packer,2
MZ-17515,Mary Zewe,1
CB-12025,Cassandra Brandow,0
VM-21685,Valerie Mitchum,2
FH-14365,Fred Hopkins,1
MB-17305,Maria Bertelson,0
BS-11755,Bruce Stewart,0
LC-17140,Logan Currie,0
HK-14890,Heather Kirkland,1
LE-16810,Laurel Elliston,0
JH-15985,Joseph Holt,0
MS-17980,Michael Stewart,1
VW-21775,Victoria Wilson,1
JH-15910,Jonathan Howell,0
JB-15925,Joni Blumstein,0
DS-13180,David Smith,1
