Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub-Category,Product_Name,Sales,Quantity,Discount,Profit,Order_Year,Order_Month,Order_Month_Name,Order_Quarter,Order_Day,Weekday,Is_Weekend,Sales_per_Quantity,Profit_Margin,Order_Week,Day_of_Week,Shipping_Days,Discount_Flag,Customer_Order_Count,Product_Order_Count
1,CA-2016-152156,2016-11-08,2016-11-11,2,CG-12520,Claire Gute,0,United States,194,15,42420,2,FUR-BO-10001798,0,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,11,November,4,8,Tuesday,0,130.98,16.000000000000004,45,Tuesday,3,0,5,4
2,CA-2016-152156,2016-11-08,2016-11-11,2,CG-12520,Claire Gute,0,United States,194,15,42420,2,FUR-CH-10000454,0,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,2016,11,November,4,8,Tuesday,0,243.98,30.0,45,Tuesday,3,0,5,12
3,CA-2016-138688,2016-06-12,2016-06-16,2,DV-13045,Darrin Van Huff,1,United States,266,3,90036,3,OFF-LA-10000240,1,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,2016,6,June,2,12,Sunday,1,7.31,47.0,23,Sunday,4,0,9,7
4,US-2015-108966,2015-10-11,2015-10-18,3,SO-20335,Sean O'Donnell,0,United States,153,8,33311,2,FUR-TA-10000577,0,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,2015,10,October,4,11,Sunday,1,191.5155,-40.0,41,Sunday,7,1,15,8
5,US-2015-108966,2015-10-11,2015-10-18,3,SO-20335,Sean O'Donnell,0,United States,153,8,33311,2,OFF-ST-10000760,1,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,2015,10,October,4,11,Sunday,1,11.184,11.25,41,Sunday,7,1,15,5
6,CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,Brosina Hoffman,0,United States,266,3,90032,3,FUR-FU-10001487,0,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,2014,6,June,2,9,Monday,0,6.98,29.0,24,Monday,5,0,24,5
7,CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,Brosina Hoffman,0,United States,266,3,90032,3,OFF-AR-10002833,1,Art,Newell 322,7.28,4,0.0,1.9656,2014,6,June,2,9,Monday,0,1.82,27.0,24,Monday,5,0,24,6
8,CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,Brosina Hoffman,0,United States,266,3,90032,3,TEC-PH-10002275,2,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,2014,6,June,2,9,Monday,0,151.192,10.0,24,Monday,5,1,24,4
9,CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,Brosina Hoffman,0,United States,266,3,90032,3,OFF-BI-10003910,1,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,2014,6,June,2,9,Monday,0,6.168,31.249999999999996,24,Monday,5,1,24,10
10,CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,Brosina Hoffman,0,United States,266,3,90032,3,OFF-AP-10002892,1,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,2014,6,June,2,9,Monday,0,22.98,30.0,24,Monday,5,0,24,7
